hometeam	awayteam	homescore awayscore
Celtic		Falkirk 	4 	  0
Falkirk		Celtic 		2 	  3
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	2 	  0
Celtic		Falkirk 	4 	  0
Falkirk		Celtic 		0 	  0
Celtic		Falkirk 	5 	  2
Falkirk		Celtic 		0 	  0
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	3 	  0
Celtic		Falkirk 	5 	  0
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	6 	  0
Falkirk		Celtic 		3 	  4
Falkirk		Celtic 		6 	  2
Celtic		Falkirk 	3 	  0
Celtic		Falkirk 	7 	  0
Falkirk		Celtic 		1 	  0
Celtic		Falkirk 	2 	  1
Falkirk		Celtic 		1 	  3
Celtic		Falkirk 	3 	  0
Falkirk		Celtic 		3 	  1
Falkirk		Celtic 		3 	  2
Celtic		Falkirk 	3 	  4
Celtic		Falkirk 	2 	  2
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	4 	  0
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		3 	  1
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	3 	  1
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		2 	  3
Celtic		Falkirk 	5 	  3
Falkirk		Celtic 		0 	  2
Celtic		Falkirk 	3 	  0
Celtic		Falkirk 	4 	  3
Falkirk		Celtic 		1 	  1
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	4 	  4
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	0 	  3
Celtic		Falkirk 	0 	  0
Falkirk		Celtic 		1 	  4
Celtic		Falkirk 	1 	  2
Falkirk		Celtic 		1 	  1
Falkirk		Celtic 		3 	  0
Celtic		Falkirk 	2 	  0
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	7 	  3
Falkirk		Celtic 		1 	  2
Falkirk		Celtic 		2 	  0
Celtic		Falkirk 	2 	  2
Celtic		Falkirk 	0 	  1
Falkirk		Celtic 		1 	  1
Falkirk		Celtic 		2 	  0
Celtic		Falkirk 	4 	  1
Celtic		Falkirk 	3 	  0
Falkirk		Celtic 		3 	  2
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	7 	  0
Celtic		Falkirk 	3 	  0
Falkirk		Celtic 		3 	  0
Falkirk		Celtic 		1 	  3
Celtic		Falkirk 	3 	  0
Falkirk		Celtic 		4 	  1
Celtic		Falkirk 	3 	  1
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	3 	  1
Celtic		Falkirk 	6 	  1
Falkirk		Celtic 		1 	  2
Falkirk		Celtic 		3 	  1
Celtic		Falkirk 	2 	  1
Falkirk		Celtic 		0 	  0
Celtic		Falkirk 	1 	  1
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	0 	  0
Falkirk		Celtic 		1 	  3
Celtic		Falkirk 	4 	  1
Falkirk		Celtic 		1 	  2
Celtic		Falkirk 	1 	  1
Celtic		Falkirk 	4 	  0
Falkirk		Celtic 		1 	  2
Celtic		Falkirk 	0 	  0
Falkirk		Celtic 		1 	  3
Celtic		Falkirk 	2 	  0
Falkirk		Celtic 		1 	  1
Falkirk		Celtic 		0 	  2
Celtic		Falkirk 	2 	  1
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		1 	  0
Celtic		Falkirk 	4 	  0
Celtic		Falkirk 	1 	  2
Falkirk		Celtic 		0 	  0
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	3 	  1
Celtic		Falkirk 	0 	  0
Falkirk		Celtic 		2 	  1
Falkirk		Celtic 		2 	  0
Celtic		Falkirk 	2 	  0
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	2 	  0
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	3 	  2
Celtic		Falkirk 	3 	  2
Falkirk		Celtic 		2 	  3
Celtic		Falkirk 	7 	  0
Falkirk		Celtic 		0 	  5
Celtic		Falkirk 	3 	  0 
Celtic		Falkirk 	5 	  2
Falkirk		Celtic		1	  3
Falkirk		Celtic		0	  4
Celtic		Falkirk		4	  5
Rangers		Falkirk 	3 	  0 
Falkirk		Rangers 	1 	  3 
Rangers		Falkirk 	4 	  1 
Falkirk		Rangers 	0 	  1 
Rangers		Falkirk 	3 	  1 
Falkirk		Rangers 	0 	  1 
Rangers		Falkirk 	2 	  0 
Falkirk		Rangers 	1 	  3 
Rangers		Falkirk 	7 	  2 
Rangers		Falkirk 	2 	  1 
Falkirk		Rangers 	1 	  0 
Rangers		Falkirk 	4 	  0 
Falkirk		Rangers 	1 	  2 
Rangers		Falkirk 	2 	  2 
Falkirk		Rangers 	1 	  1 
Rangers		Falkirk 	3 	  2
Falkirk		Rangers 	0 	  4
Rangers		Falkirk 	2 	  0
Falkirk		Rangers 	0 	  2
Rangers		Falkirk 	2 	  2
Falkirk		Rangers 	2 	  3
Rangers		Falkirk 	1 	  1
Falkirk		Rangers 	0 	  2
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	5 	  0
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	4 	  0
Rangers		Falkirk 	4 	  1
Falkirk		Rangers 	1 	  3
